Name,Height_cm,Height_ft,Weight_kg,Weight_lbs,Age_yrs,Position,Cleaned_Position,Team_Name,Team_URL
Alexander Wennberg,188,6.167979002624672,88.904032,196,29,Centre,centre,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Fabian Zetterlund,180,5.905511811023622,99.79024,220,25,Forward,forward,San_Jose_Sharks,https://en.wikipedia.org/wiki/Template:San_Jose_Sharks_roster
Matty Beniers,188,6.167979002624672,80.739376,178,21,Center,centre,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Oliver Bjorkstrand,183,6.003937007874016,78.925008,174,29,Right wing,rightwinger,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Will Borgen,188,6.167979002624672,84.821704,187,27,Defense,defence,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
André Burakovsky,191,6.266404199475065,91.171992,201,29,Left wing,leftwinger,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Joey Daccord,188,6.167979002624672,89.357624,197,28,Goaltender,goaltender,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Vince Dunn,183,6.003937007874016,90.7184,200,27,Defence,defence,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Jordan Eberle,180,5.905511811023622,84.821704,187,34,Right wing,rightwinger,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Yanni Gourde,175,5.741469816272966,76.657048,169,32,Centre / Left wing,centre/leftwinger,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Philipp Grubauer,188,6.167979002624672,83.91452,185,32,Goaltender,goaltender,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Tye Kartye,185,6.069553805774278,89.811216,198,23,Left wing,leftwinger,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Maxime Lajoie,185,6.069553805774278,83.007336,183,26,Defence,defence,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Adam Larsson,191,6.266404199475065,97.52228,215,31,Defence,defence,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Josh Mahura,183,6.003937007874016,87.089664,192,26,Defence,defence,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Jared McCann,185,6.069553805774278,84.821704,187,28,Left wing,leftwinger,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Ben Meyers,180,5.905511811023622,87.996848,194,25,Forward,forward,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Brandon Montour,183,6.003937007874016,87.996848,194,30,Defence,defence,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Jamie Oleksiak,201,6.594488188976378,115.66596,255,31,Defence,defence,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Jaden Schwartz,178,5.83989501312336,86.18248,190,32,Centre / Left wing,centre/leftwinger,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Chandler Stephenson,183,6.003937007874016,94.80072799999999,209,30,Forward,forward,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Brandon Tanev,183,6.003937007874016,86.18248,190,32,Left wing,leftwinger,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Eeli Tolvanen,178,5.83989501312336,86.636072,191,25,Right wing,rightwinger,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Ryan Winterton,188,6.167979002624672,79.3786,175,21,Centre,centre,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Shane Wright,185,6.069553805774278,84.821704,187,20,Centre,centre,Seattle_Kraken,https://en.wikipedia.org/wiki/Template:Seattle_Kraken_roster
Nils Åman,188,6.167979002624672,83.91452,185,24,Centre,centre,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Arshdeep Bains,183,6.003937007874016,83.007336,183,23,Left wing,leftwinger,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Brock Boeser,185,6.069553805774278,94.347136,208,27,Right wing,rightwinger,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Jake DeBrusk,183,6.003937007874016,85.275296,188,27,Left wing,leftwinger,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Thatcher Demko,193,6.332020997375328,87.089664,192,28,Goaltender,goaltender,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Vincent Desharnais,201,6.594488188976378,102.511792,226,28,Defence,defence,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Phillip Di Giuseppe,183,6.003937007874016,87.089664,192,30,Left wing,leftwinger,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Mark Friedman,180,5.905511811023622,83.91452,185,28,Defence,defence,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Derek Forbort,193,6.332020997375328,99.336648,219,32,Defense,defence,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Conor Garland,173,5.675853018372703,77.11064,170,28,Right wing,rightwinger,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Danton Heinen,185,6.069553805774278,85.275296,188,29,Left wing,leftwinger,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Nils Höglander,175,5.741469816272966,83.91452,185,23,Left wing,leftwinger,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Filip Hronek,183,6.003937007874016,77.11064,170,26,Defence,defence,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Quinn Hughes,178,5.83989501312336,81.64656,180,24,Defense,defence,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Dakota Joshua,188,6.167979002624672,82.553744,182,28,Center,centre,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Noah Juulsen,188,6.167979002624672,87.543256,193,27,Defence,defence,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Linus Karlsson,185,6.069553805774278,81.192968,179,24,Centre,centre,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Danila Klimovich,185,6.069553805774278,84.821704,187,21,Centre,centre,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Cole McWard,185,6.069553805774278,87.089664,192,23,Defense,defence,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
J. T. Miller,185,6.069553805774278,98.429464,217,31,Center/Left wing,centre/leftwinger,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Tyler Myers,203,6.66010498687664,103.872568,229,34,Defence,defence,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Jiří Patera,188,6.167979002624672,94.80072799999999,209,25,Goaltender,goaltender,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Elias Pettersson,188,6.167979002624672,79.83219199999999,176,25,Centre,centre,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Tucker Poolman,188,6.167979002624672,97.975872,216,31,Defense,defence,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Aatu Räty,188,6.167979002624672,83.91452,185,21,Centre,centre,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Kiefer Sherwood,183,6.003937007874016,87.996848,194,29,Right wing,rightwinger,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Artūrs Šilovs,193,6.332020997375328,92.079176,203,23,Goaltender,goaltender,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Nathan Smith,183,6.003937007874016,80.28578399999999,177,25,Center,centre,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Carson Soucy,196,6.430446194225722,95.25431999999999,210,30,Defence,defence,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Daniel Sprong,183,6.003937007874016,83.007336,183,27,Right wing,rightwinger,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Pius Suter,180,5.905511811023622,79.83219199999999,176,28,Forward,forward,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Christian Wolanin,188,6.167979002624672,83.91452,185,29,Defence,defence,Vancouver_Canucks,https://en.wikipedia.org/wiki/Template:Vancouver_Canucks_roster
Ivan Barbashev,183,6.003937007874016,84.821704,187,28,Centre,centre,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Brendan Brisson,183,6.003937007874016,86.636072,191,22,Center,centre,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Grigori Denisenko,178,5.83989501312336,74.84268,165,24,Left wing,leftwinger,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Pavel Dorofeyev,183,6.003937007874016,73.935496,163,23,Winger,winger,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Jack Eichel,188,6.167979002624672,93.893544,207,27,Center,centre,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Nicolas Hague,198,6.496062992125984,104.32616,230,25,Defence,defence,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Noah Hanifin,191,6.266404199475065,92.98636,205,27,Defense,defence,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Tomáš Hertl,191,6.266404199475065,97.52228,215,30,Forward,forward,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Adin Hill,193,6.332020997375328,97.52228,215,28,Goaltender,goaltender,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Alexander Holtz,183,6.003937007874016,83.007336,183,22,Right wing,rightwinger,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Brett Howden,191,6.266404199475065,87.543256,193,26,Centre,centre,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Ben Hutton,188,6.167979002624672,93.893544,207,31,Defence,defence,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
William Karlsson,185,6.069553805774278,86.18248,190,31,Centre,centre,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Keegan Kolesar,188,6.167979002624672,102.965384,227,27,Right wing,rightwinger,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Robin Lehner,193,6.332020997375328,113.398,250,33,Goaltender,goaltender,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Dysin Mayo,188,6.167979002624672,88.45044,195,28,Defence,defence,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Brayden McNabb,193,6.332020997375328,96.161504,212,33,Defence,defence,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Mason Morelli,185,6.069553805774278,91.171992,201,28,Center,centre,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Victor Olofsson,180,5.905511811023622,82.553744,182,29,Left wing,leftwinger,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Tanner Pearson,185,6.069553805774278,93.893544,207,32,Left wing,leftwinger,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Alex Pietrangelo,191,6.266404199475065,95.25431999999999,210,34,Defence,defence,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Jonas Røndbjerg,188,6.167979002624672,87.996848,194,25,Forward,forward,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Nicolas Roy,193,6.332020997375328,93.893544,207,27,Centre,centre,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Ilya Samsonov,191,6.266404199475065,92.98636,205,27,Goaltender,goaltender,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Isaiah Saville,185,6.069553805774278,88.904032,196,23,Goaltender,goaltender,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Mark Stone,193,6.332020997375328,99.336648,219,32,Right wing,rightwinger,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Shea Theodore,188,6.167979002624672,88.45044,195,29,Defence,defence,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Zach Whitecloud,188,6.167979002624672,94.80072799999999,209,27,Defence,defence,Vegas_Golden_Knights,https://en.wikipedia.org/wiki/Template:Vegas_Golden_Knights_roster
Joey Anderson,180,5.905511811023622,87.089664,192,26,Right wing,rightwinger,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Andreas Athanasiou,188,6.167979002624672,87.089664,192,30,Centre,centre,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Connor Bedard,178,5.83989501312336,83.91452,185,19,Centre,centre,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Tyler Bertuzzi,183,6.003937007874016,86.18248,190,29,Left wing,leftwinger,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
T. J. Brodie,185,6.069553805774278,83.007336,183,34,Defence,defence,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Laurent Brossoit,191,6.266404199475065,92.532768,204,31,Goaltender,goaltender,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Jason Dickinson,188,6.167979002624672,90.7184,200,29,Centre,centre,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Ryan Donato,183,6.003937007874016,87.089664,192,28,Center/Left wing,centre/leftwinger,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Nick Foligno,183,6.003937007874016,94.347136,208,36,Left wing,leftwinger,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Taylor Hall,185,6.069553805774278,92.98636,205,32,Left wing,leftwinger,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Seth Jones,193,6.332020997375328,99.79024,220,29,Defense,defence,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Kevin Korchinski,188,6.167979002624672,83.91452,185,20,Defence,defence,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Philipp Kurashev,183,6.003937007874016,87.089664,192,24,Centre,centre,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Artyom Levshunov,188,6.167979002624672,89.811216,198,18,Defence,defence,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Patrick Maroon,191,6.266404199475065,106.140528,234,36,Left wing,leftwinger,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Alec Martinez,185,6.069553805774278,97.52228,215,37,Defense,defence,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Ilya Mikheyev,191,6.266404199475065,88.45044,195,29,Forward,forward,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Petr Mrázek,188,6.167979002624672,82.100152,181,32,Goaltender,goaltender,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Connor Murphy,193,6.332020997375328,96.161504,212,31,Defense,defence,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Frank Nazar,178,5.83989501312336,82.100152,181,20,Center,centre,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Lukas Reichel,183,6.003937007874016,79.83219199999999,176,22,Left wing,leftwinger,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Landon Slaggert,183,6.003937007874016,81.64656,180,22,Left wing,leftwinger,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Craig Smith,185,6.069553805774278,92.079176,203,35,Forward,forward,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Arvid Söderblom,191,6.266404199475065,86.18248,190,25,Goaltender,goaltender,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Teuvo Teräväinen,180,5.905511811023622,80.739376,178,30,Forward,forward,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Alex Vlasic,198,6.496062992125984,89.811216,198,23,Defense,defence,Chicago_Blackhawks,https://en.wikipedia.org/wiki/Template:Chicago_Blackhawks_roster
Jack Ahcan,175,5.741469816272966,81.64656,180,27,Defense,defence,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Justus Annunen,193,6.332020997375328,93.893544,207,24,Goaltender,goaltender,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Erik Brännström,178,5.83989501312336,82.100152,181,25,Defence,defence,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Ross Colton,183,6.003937007874016,91.625584,202,28,Center,centre,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Calvin de Haan,185,6.069553805774278,88.45044,195,33,Defence,defence,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Jonathan Drouin,180,5.905511811023622,91.171992,201,29,Left wing,leftwinger,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Jean-Luc Foudy,180,5.905511811023622,80.28578399999999,177,22,Centre,centre,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Alexandar Georgiev,185,6.069553805774278,81.64656,180,28,Goaltender,goaltender,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Sam Girard,178,5.83989501312336,73.481904,162,26,Defence,defence,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Jere Innala,175,5.741469816272966,83.007336,183,26,Left wing,leftwinger,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Parker Kelly,183,6.003937007874016,88.904032,196,25,Centre,centre,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Joel Kiviranta,178,5.83989501312336,73.935496,163,28,Forward,forward,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Nikolai Kovalenko,178,5.83989501312336,78.925008,174,24,Right wing,rightwinger,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Oliver Kylington,183,6.003937007874016,82.100152,181,27,Defence,defence,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Gabriel Landeskog,185,6.069553805774278,97.975872,216,31,Left wing,leftwinger,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Artturi Lehkonen,180,5.905511811023622,80.739376,178,29,Left wing,leftwinger,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Jacob MacDonald,183,6.003937007874016,92.532768,204,31,Defence/Right wing,defence/rightwinger,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Nathan MacKinnon,183,6.003937007874016,90.7184,200,29,Centre,centre,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Cale Makar,180,5.905511811023622,84.821704,187,25,Defence,defence,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Sam Malinski,180,5.905511811023622,81.64656,180,26,Defense,defence,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Josh Manson,191,6.266404199475065,97.52228,215,32,Defence,defence,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Keaton Middleton,198,6.496062992125984,108.86207999999999,240,26,Defence,defence,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Casey Mittelstadt,185,6.069553805774278,90.264808,199,25,Center,centre,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Valeri Nichushkin,193,6.332020997375328,94.80072799999999,209,29,Right wing,rightwinger,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Logan O'Connor,183,6.003937007874016,79.3786,175,28,Right wing,rightwinger,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Mikko Rantanen,193,6.332020997375328,97.52228,215,27,Forward,forward,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Calle Rosén,183,6.003937007874016,84.821704,187,30,Defence,defence,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Devon Toews,185,6.069553805774278,87.089664,192,30,Defence,defence,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
T. J. Tynan,173,5.675853018372703,74.84268,165,32,Forward,forward,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Chris Wagner,152,4.986876640419948,89.811216,198,33,Center,centre,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Miles Wood,188,6.167979002624672,88.45044,195,29,Left wing,leftwinger,Colorado_Avalanche,https://en.wikipedia.org/wiki/Template:Colorado_Avalanche_roster
Zach Bogosian,188,6.167979002624672,100.697424,222,34,Defense,defence,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Matt Boldy,188,6.167979002624672,91.171992,201,23,Right Wing,rightwinger,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Travis Boyd,180,5.905511811023622,83.460928,184,30,Forward,forward,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Jonas Brodin,185,6.069553805774278,87.996848,194,31,Defense,defence,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Declan Chisholm,185,6.069553805774278,83.91452,185,24,Defenceman,defence,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Joel Eriksson Ek,185,6.069553805774278,94.347136,208,27,Centre,centre,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Brock Faber,185,6.069553805774278,90.7184,200,22,Defense,defence,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Marc-Andre Fleury,188,6.167979002624672,83.91452,185,39,Goaltender,goaltender,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Marcus Foligno,191,6.266404199475065,102.511792,226,33,Right Wing,rightwinger,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Frédérick Gaudreau,183,6.003937007874016,81.64656,180,31,Centre,centre,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Filip Gustavsson,188,6.167979002624672,83.460928,184,26,Goaltender,goaltender,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Ryan Hartman,180,5.905511811023622,87.996848,194,29,Right wing / Centre,centre/rightwinger,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Marcus Johansson,185,6.069553805774278,92.079176,203,33,Left wing,leftwinger,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Reese Johnson,185,6.069553805774278,87.543256,193,26,Center,centre,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Kirill Kaprizov,178,5.83989501312336,91.625584,202,27,Left wing,leftwinger,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Marat Khusnutdinov,180,5.905511811023622,79.83219199999999,176,22,Centre,centre,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Jakub Lauko,183,6.003937007874016,76.657048,169,24,Center / left wing,centre/leftwinger,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Jake Middleton,191,6.266404199475065,95.25431999999999,210,28,Defence,defence,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Liam Öhgren,185,6.069553805774278,91.171992,201,20,Left wing,leftwinger,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Marco Rossi,175,5.741469816272966,82.553744,182,22,Centre,centre,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Jared Spurgeon,175,5.741469816272966,75.749864,167,34,Defence,defence,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Yakov Trenin,188,6.167979002624672,91.171992,201,27,Center,centre,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Mats Zuccarello,173,5.675853018372703,81.192968,179,37,Right wing,rightwinger,Minnesota_Wild,https://en.wikipedia.org/wiki/Template:Minnesota_Wild_roster
Alexandre Carrier,180,5.905511811023622,79.3786,175,27,Defence,defence,Nashville_Predators,https://en.wikipedia.org/wiki/Template:Nashville_Predators_roster
Magnus Chrona,193,6.332020997375328,87.996848,194,24,Goaltender,goaltender,Nashville_Predators,https://en.wikipedia.org/wiki/Template:Nashville_Predators_roster
Luke Evangelista,183,6.003937007874016,83.007336,183,22,Right Wing,rightwinger,Nashville_Predators,https://en.wikipedia.org/wiki/Template:Nashville_Predators_roster
Dante Fabbro,185,6.069553805774278,87.089664,192,26,Defence,defence,Nashville_Predators,https://en.wikipedia.org/wiki/Template:Nashville_Predators_roster
Filip Forsberg,188,6.167979002624672,96.161504,212,30,Left wing,leftwinger,Nashville_Predators,https://en.wikipedia.org/wiki/Template:Nashville_Predators_roster
Mark Jankowski,193,6.332020997375328,92.98636,205,29,Centre,centre,Nashville_Predators,https://en.wikipedia.org/wiki/Template:Nashville_Predators_roster
